WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
